t,estado,modo,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,mira,alvo_x,alvo_y,desvio_lateral
47.914,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
47.95,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
48.0,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
48.05,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
48.1,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
48.15,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
48.2,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
48.25,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
48.3,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.5,8.7967,4.635,1.0,2.6037,4.15,-0.0
48.35,seguindo,normal,2.0027,5.0003,-0.0037,-0.9555,-0.9518,0.5,8.794,4.635,1.0,2.6037,4.15,0.0024
48.4,seguindo,normal,2.0059,5.0007,-0.0088,-0.9583,-0.9494,0.5,8.7908,4.635,1.0,2.6037,4.15,0.0053
48.45,seguindo,normal,2.0135,5.0015,-0.0202,-0.9647,-0.9444,0.5,8.7832,4.635,1.0,2.6037,4.15,0.012
48.5,seguindo,normal,2.0199,5.0022,-0.0305,-0.9701,-0.9396,0.5,8.7768,4.635,1.0,2.6037,4.15,0.0177
48.55,seguindo,normal,2.0312,5.0034,-0.0505,-0.9799,-0.9293,0.5,8.7654,4.635,1.0,2.6037,4.15,0.0276
48.601,seguindo,normal,2.0437,5.0045,-0.0737,-0.9906,-0.917,0.5,8.7529,4.635,1.0,2.6037,4.15,0.0386
48.65,seguindo,normal,2.0521,5.0054,-0.094,-0.998,-0.904,0.5,8.7445,4.635,1.0,2.6037,4.15,0.046
48.7,seguindo,normal,2.0605,5.0062,-0.1145,-1.0054,-0.8909,0.5,8.7361,4.635,1.0,2.6037,4.15,0.0534
48.75,seguindo,normal,2.0733,5.0075,-0.1503,-1.0084,-0.8581,0.5,8.7233,4.7682,1.0,2.6452,4.1,0.0647
48.8,seguindo,normal,2.0819,5.0082,-0.1761,-1.0156,-0.8395,0.5,8.7147,4.7682,1.0,2.6452,4.1,0.0722
48.85,seguindo,normal,2.0951,5.0092,-0.2196,-1.0267,-0.8071,0.5,8.7015,4.7682,1.0,2.6452,4.1,0.0836
48.9,seguindo,normal,2.1041,5.0096,-0.2504,-1.0341,-0.7837,0.5,8.6926,4.7682,1.0,2.6452,4.1,0.0913
48.95,seguindo,normal,2.1174,5.0102,-0.3017,-1.0453,-0.7436,0.5,8.6794,4.7682,1.0,2.6452,4.1,0.1026
49.0,seguindo,normal,2.1262,5.0104,-0.3377,-1.0526,-0.7149,0.5,8.6708,4.7682,1.0,2.6452,4.1,0.11
49.05,seguindo,normal,2.1397,5.0104,-0.3967,-1.0638,-0.6671,0.5,8.6575,4.7682,1.0,2.6452,4.1,0.1211
49.1,seguindo,normal,2.1487,5.01,-0.4378,-1.0713,-0.6335,0.5,8.6487,4.7682,1.0,2.6452,4.1,0.1284
49.15,seguindo,normal,2.1624,5.0088,-0.4999,-1.0824,-0.5825,0.5,8.6355,4.7682,1.0,2.6452,4.1,0.1391
49.2,seguindo,normal,2.1715,5.0074,-0.5414,-1.0897,-0.5483,0.5,8.6267,4.7682,1.0,2.6452,4.1,0.1459
49.25,seguindo,normal,2.1851,5.0047,-0.6032,-1.0878,-0.4846,0.5,8.6139,5.2955,1.0,2.6858,4.05,0.1556
49.3,seguindo,normal,2.1941,5.0023,-0.6442,-1.0942,-0.4501,0.5,8.6055,5.2955,1.0,2.6858,4.05,0.1617
49.35,seguindo,normal,2.2074,4.998,-0.7048,-1.1035,-0.3987,0.5,8.5932,5.2955,1.0,2.6858,4.05,0.1703
49.4,seguindo,normal,2.2162,4.9946,-0.7446,-1.1095,-0.3649,0.5,8.5852,5.2955,1.0,2.6858,4.05,0.1757
49.45,seguindo,normal,2.2292,4.9886,-0.8034,-1.118,-0.3147,0.5,8.5736,5.2955,1.0,2.6858,4.05,0.1833
49.5,seguindo,normal,2.2376,4.9841,-0.8413,-1.1235,-0.2821,0.5,8.5662,5.2955,1.0,2.6858,4.05,0.1879
49.55,seguindo,normal,2.2502,4.9766,-0.8985,-1.1188,-0.2203,0.5,8.5553,4.68,1.0,2.7243,4.0,0.1942
49.6,seguindo,normal,2.2585,4.9713,-0.9368,-1.1237,-0.1868,0.5,8.5481,4.68,1.0,2.7243,4.0,0.1983
49.65,seguindo,normal,2.271,4.9622,-0.9918,-1.1305,-0.1388,0.5,8.5375,4.68,1.0,2.7243,4.0,0.2037
49.7,seguindo,normal,2.2793,4.9556,-1.0268,-1.135,-0.1081,0.5,8.5307,4.68,1.0,2.7243,4.0,0.2071
49.75,seguindo,normal,2.2913,4.9442,-1.0757,-1.1408,-0.0651,0.5,8.5211,4.68,1.0,2.7243,4.0,0.211
49.8,seguindo,normal,2.2989,4.9361,-1.1055,-1.1335,-0.0281,0.5,8.5152,4.5924,1.0,2.7599,3.95,0.213
49.85,seguindo,normal,2.3097,4.923,-1.1475,-1.1375,0.0101,0.5,8.5072,4.5924,1.0,2.7599,3.95,0.215
49.9,seguindo,normal,2.3165,4.9139,-1.1744,-1.1397,0.0347,0.5,8.5023,4.5924,1.0,2.7599,3.95,0.2158
49.95,seguindo,normal,2.3261,4.8992,-1.211,-1.1422,0.0688,0.5,8.4959,4.5924,1.0,2.7599,3.95,0.216
50.0,seguindo,normal,2.3321,4.8889,-1.2334,-1.136,0.0974,0.5,8.492,5.3454,1.0,2.7915,3.9,0.2155
50.05,seguindo,normal,2.3405,4.8723,-1.2619,-1.1365,0.1254,0.5,8.4872,5.3454,1.0,2.7915,3.9,0.2137
50.1,seguindo,normal,2.3457,4.8607,-1.2783,-1.1364,0.142,0.5,8.4845,5.3454,1.0,2.7915,3.9,0.2118
50.15,seguindo,normal,2.3524,4.844,-1.2976,-1.1354,0.1622,0.5,8.4814,5.3454,1.0,2.7915,3.9,0.2084
50.2,seguindo,normal,2.3582,4.8275,-1.3126,-1.1307,0.1819,0.5,8.4791,2.7534,1.0,2.8185,3.85,0.2044
50.25,seguindo,normal,2.3616,4.8164,-1.3174,-1.1291,0.1883,0.5,8.4781,2.7534,1.0,2.8185,3.85,0.2012
50.3,seguindo,normal,2.3648,4.8052,-1.3214,-1.1274,0.194,0.5,8.4774,2.7534,1.0,2.8185,3.85,0.1979
50.35,seguindo,normal,2.3692,4.7882,-1.3221,-1.1242,0.198,0.5,8.4767,2.7534,1.0,2.8185,3.85,0.1922
50.4,seguindo,normal,2.372,4.7769,-1.3208,-1.1234,0.1974,0.5,8.4764,1.7232,1.0,2.8407,3.8,0.1883
50.45,seguindo,normal,2.3761,4.76,-1.318,-1.12,0.198,0.5,8.4761,1.7232,1.0,2.8407,3.8,0.1825
50.5,seguindo,normal,2.3788,4.7488,-1.3159,-1.1177,0.1982,0.5,8.4758,1.7232,1.0,2.8407,3.8,0.1786
50.55,seguindo,normal,2.3829,4.7319,-1.3125,-1.1142,0.1983,0.5,8.4755,1.7232,1.0,2.8407,3.8,0.1726
50.6,seguindo,normal,2.3857,4.7207,-1.3102,-1.1118,0.1983,0.5,8.4753,1.7232,1.0,2.8407,3.8,0.1687
50.65,seguindo,normal,2.3899,4.7039,-1.307,-1.1146,0.1925,0.5,8.4749,1.2104,1.0,2.8581,3.75,0.1628
50.7,seguindo,normal,2.3928,4.6927,-1.3051,-1.1123,0.1928,0.5,8.4746,1.2104,1.0,2.8581,3.75,0.1589
50.75,seguindo,normal,2.3972,4.6758,-1.3024,-1.1089,0.1935,0.5,8.4741,1.2104,1.0,2.8581,3.75,0.1529
50.8,seguindo,normal,2.4002,4.6646,-1.3005,-1.1066,0.194,0.5,8.4738,1.2104,1.0,2.8581,3.75,0.149
50.85,seguindo,normal,2.4046,4.6477,-1.2978,-1.1133,0.1845,0.5,8.4733,0.9312,1.0,2.8712,3.7,0.1431
50.9,seguindo,normal,2.4076,4.6365,-1.296,-1.1111,0.1849,0.5,8.473,0.9312,1.0,2.8712,3.7,0.1392
50.95,seguindo,normal,2.4122,4.6197,-1.2934,-1.1078,0.1856,0.5,8.4725,0.9312,1.0,2.8712,3.7,0.1333
51.0,seguindo,normal,2.4152,4.6084,-1.2916,-1.1056,0.1861,0.5,8.4722,0.9312,1.0,2.8712,3.7,0.1293
51.05,seguindo,normal,2.4199,4.5916,-1.289,-1.1156,0.1735,0.5,8.4717,0.783,1.0,2.8808,3.65,0.1234
51.1,seguindo,normal,2.423,4.5804,-1.2873,-1.1135,0.1738,0.5,8.4713,0.783,1.0,2.8808,3.65,0.1195
51.15,seguindo,normal,2.4277,4.5636,-1.2847,-1.1104,0.1743,0.5,8.4708,0.783,1.0,2.8808,3.65,0.1136
51.2,seguindo,normal,2.4308,4.5524,-1.2829,-1.1082,0.1747,0.5,8.4704,0.783,1.0,2.8808,3.65,0.1097
51.25,seguindo,normal,2.4356,4.5356,-1.2802,-1.105,0.1753,0.5,8.4699,0.783,1.0,2.8808,3.65,0.1038
51.3,seguindo,normal,2.4388,4.5245,-1.2784,-1.1559,0.1226,0.5,8.4695,4.4854,0.37,2.6037,4.15,0.0999
51.35,seguindo,normal,2.4436,4.5077,-1.2758,-1.1499,0.1258,0.5,8.4689,4.4854,0.37,2.6037,4.15,0.0941
51.4,seguindo,normal,2.4469,4.4966,-1.274,-1.1457,0.1282,0.5,8.4685,4.4854,0.37,2.6037,4.15,0.0902
51.45,seguindo,normal,2.4518,4.4798,-1.2713,-1.1391,0.1323,0.5,8.4679,4.4854,0.37,2.6037,4.15,0.0843
51.5,seguindo,normal,2.4551,4.4687,-1.2696,-1.0946,0.175,0.5,8.4675,5.4291,0.37,2.6452,4.1,0.0804
51.55,seguindo,normal,2.4601,4.452,-1.2669,-1.0865,0.1805,0.5,8.4669,5.4291,0.37,2.6452,4.1,0.0746
51.6,seguindo,normal,2.4634,4.4408,-1.2651,-1.0807,0.1844,0.5,8.4665,5.4291,0.37,2.6452,4.1,0.0708
51.65,seguindo,normal,2.4685,4.4241,-1.2624,-1.0715,0.1909,0.5,8.4659,5.4291,0.37,2.6452,4.1,0.0648
51.7,seguindo,normal,2.4719,4.413,-1.2607,-1.065,0.1956,0.5,8.4655,5.4291,0.37,2.6452,4.1,0.0609
51.75,seguindo,normal,2.477,4.3964,-1.258,-1.0284,0.2296,0.5,8.4649,9.8722,0.37,2.6858,4.05,0.0551
51.8,seguindo,normal,2.4805,4.3853,-1.2562,-1.0213,0.2349,0.5,8.4644,9.8722,0.37,2.6858,4.05,0.0512
51.85,seguindo,normal,2.4857,4.3686,-1.2535,-1.01,0.2435,0.5,8.4638,9.8722,0.37,2.6858,4.05,0.0453
51.9,seguindo,normal,2.4892,4.3576,-1.2517,-1.002,0.2497,0.5,8.4633,9.8722,0.37,2.6858,4.05,0.0413
51.95,seguindo,normal,2.4936,4.3439,-1.2507,-0.9798,0.2709,0.5,8.4627,45.5646,0.37,2.7243,4.0,0.0364
52.0,seguindo,normal,2.4962,4.336,-1.2507,-0.9744,0.2763,0.5,8.4623,45.5646,0.37,2.7243,4.0,0.0337
52.05,seguindo,normal,2.501,4.3213,-1.2487,-0.9635,0.2852,0.5,8.4616,45.5646,0.37,2.7243,4.0,0.0285
52.1,seguindo,normal,2.5045,4.3103,-1.2464,-0.9544,0.2919,0.5,8.4612,45.5646,0.37,2.7243,4.0,0.0245
52.15,seguindo,normal,2.5098,4.2937,-1.243,-0.94,0.3029,0.5,8.4606,45.5646,0.37,2.7243,4.0,0.0183
52.2,seguindo,normal,2.5134,4.2827,-1.2408,-0.9332,0.3076,0.5,8.4602,5.4817,0.37,2.7599,3.95,0.0142
52.25,seguindo,normal,2.5188,4.2661,-1.2379,-0.9194,0.3185,0.5,8.4595,5.4817,0.37,2.7599,3.95,0.0082
52.3,seguindo,normal,2.5225,4.2551,-1.2361,-0.9096,0.3265,0.5,8.459,5.4817,0.37,2.7599,3.95,0.0042
52.35,seguindo,normal,2.5282,4.2385,-1.2343,-0.8941,0.3402,0.5,8.4582,5.4817,0.37,2.7599,3.95,-0.0019
52.4,seguindo,normal,2.532,4.2273,-1.2334,-0.883,0.3504,0.5,8.4577,5.4817,0.37,2.7599,3.95,-0.006
52.45,seguindo,normal,2.5378,4.2106,-1.2327,-0.8859,0.3468,0.5,8.4568,2.6319,0.37,2.7915,3.9,-0.0121
52.5,seguindo,normal,2.5417,4.1994,-1.2324,-0.8755,0.3569,0.5,8.4562,2.6319,0.37,2.7915,3.9,-0.0162
52.55,seguindo,normal,2.5464,4.1849,-1.2267,-0.8602,0.3665,0.5,8.4559,2.6319,0.37,2.7915,3.9,-0.0218
52.6,seguindo,normal,2.549,4.1761,-1.221,-0.8502,0.3707,0.5,8.4558,2.6319,0.37,2.7915,3.9,-0.0254
52.65,seguindo,normal,2.5528,4.163,-1.2078,-0.8337,0.3741,0.5,8.456,2.6319,0.37,2.7915,3.9,-0.0309
52.7,seguindo,normal,2.5565,4.1499,-1.1919,-0.8886,0.3033,0.5,8.4563,1.63,0.37,2.8407,3.8,-0.0364
52.75,seguindo,normal,2.5587,4.1411,-1.1764,-0.88,0.2964,0.5,8.4567,1.63,0.37,2.8407,3.8,-0.0403
52.8,seguindo,normal,2.561,4.1324,-1.1607,-0.8713,0.2894,0.5,8.457,1.63,0.37,2.8407,3.8,-0.0441
52.85,seguindo,normal,2.5644,4.1194,-1.1334,-0.8576,0.2758,0.5,8.4575,1.63,0.37,2.8407,3.8,-0.0498
52.9,seguindo,normal,2.5668,4.1107,-1.1139,-0.8483,0.2656,0.5,8.4578,1.63,0.37,2.8407,3.8,-0.0535
52.95,seguindo,normal,2.5707,4.0978,-1.085,-0.8344,0.2505,0.5,8.4579,1.63,0.37,2.8407,3.8,-0.0587
53.0,seguindo,normal,2.5736,4.0892,-1.0658,-0.8252,0.2406,0.5,8.4577,1.63,0.37,2.8407,3.8,-0.062
53.05,seguindo,normal,2.5782,4.0765,-1.0375,-0.8621,0.1754,0.5,8.4571,1.1173,0.37,2.8581,3.75,-0.0666
53.1,seguindo,normal,2.5816,4.068,-1.0189,-0.855,0.1639,0.5,8.4564,1.1173,0.37,2.8581,3.75,-0.0694
53.15,seguindo,normal,2.5869,4.0554,-0.9916,-0.8447,0.147,0.5,8.4551,1.1173,0.37,2.8581,3.75,-0.0734
53.2,seguindo,normal,2.5909,4.0469,-0.9748,-0.8381,0.1367,0.5,8.4538,1.1173,0.37,2.8581,3.75,-0.0756
53.25,seguindo,normal,2.5972,4.0343,-0.95,-0.8284,0.1216,0.5,8.4516,1.1173,0.37,2.8581,3.75,-0.0787
53.3,seguindo,normal,2.6016,4.026,-0.9336,-0.822,0.1115,0.5,8.45,1.1173,0.37,2.8581,3.75,-0.0805
53.35,seguindo,normal,2.6086,4.0136,-0.9093,-0.8735,0.0358,0.5,8.4471,0.8607,0.37,2.8712,3.7,-0.0829
53.4,seguindo,normal,2.6134,4.0054,-0.8934,-0.8696,0.0238,0.5,8.4451,0.8607,0.37,2.8712,3.7,-0.0843
53.45,seguindo,normal,2.6209,3.9933,-0.87,-0.8642,0.0058,0.5,8.4416,0.8607,0.37,2.8712,3.7,-0.086
53.5,seguindo,normal,2.6261,3.9852,-0.8548,-0.861,-0.0062,0.5,8.4391,0.8607,0.37,2.8712,3.7,-0.0868
53.55,seguindo,normal,2.6345,3.9733,-0.8335,-0.8569,-0.0234,0.5,8.4349,0.8607,0.37,2.8712,3.7,-0.0875
53.6,seguindo,normal,2.6405,3.9652,-0.8211,-0.9194,-0.0983,0.5,8.4317,0.7485,0.37,2.8808,3.65,-0.0876
53.65,seguindo,normal,2.6498,3.9533,-0.8034,-0.9199,-0.1165,0.5,8.4266,0.7485,0.37,2.8808,3.65,-0.0875
53.7,seguindo,normal,2.6562,3.9454,-0.7923,-0.9208,-0.1285,0.5,8.423,0.7485,0.37,2.8808,3.65,-0.0871
53.75,seguindo,normal,2.6662,3.9337,-0.7764,-0.9231,-0.1467,0.5,8.4173,0.7485,0.37,2.8808,3.65,-0.0858
53.8,seguindo,normal,2.673,3.9259,-0.7665,-0.9886,-0.2221,0.5,8.4133,0.7217,0.37,2.8876,3.6,-0.0847
53.85,seguindo,normal,2.6848,3.9135,-0.7559,-0.9966,-0.2406,0.5,8.4061,0.7217,0.37,2.8876,3.6,-0.0824
53.9,seguindo,normal,2.6932,3.9051,-0.7512,-1.0035,-0.2523,0.5,8.4008,0.7217,0.37,2.8876,3.6,-0.0804
53.95,seguindo,normal,2.7061,3.8927,-0.7488,-1.016,-0.2672,0.5,8.3925,0.7217,0.37,2.8876,3.6,-0.076
54.0,seguindo,normal,2.7149,3.8846,-0.7489,-1.1318,-0.383,0.5,8.3869,0.7647,0.37,2.8954,3.5,-0.073
54.05,seguindo,normal,2.7279,3.8725,-0.7486,-1.1481,-0.3995,0.5,8.3785,0.7647,0.37,2.8954,3.5,-0.0684
54.1,seguindo,normal,2.7366,3.8644,-0.7483,-1.1597,-0.4113,0.5,8.3729,0.7647,0.37,2.8954,3.5,-0.0652
54.15,seguindo,normal,2.7496,3.8523,-0.7477,-1.1782,-0.4305,0.5,8.3646,0.7647,0.37,2.8954,3.5,-0.0596
54.2,seguindo,normal,2.7582,3.8442,-0.7472,-1.2306,-0.4834,0.5,8.3591,0.8817,0.37,2.8977,3.45,-0.0558
54.25,seguindo,normal,2.771,3.8322,-0.7456,-1.2507,-0.5051,0.5,8.351,0.8817,0.37,2.8977,3.45,-0.0503
54.3,seguindo,normal,2.7796,3.8241,-0.7442,-1.2649,-0.5206,0.5,8.3456,0.8817,0.37,2.8977,3.45,-0.0461
54.35,seguindo,normal,2.7923,3.8122,-0.7418,-1.2875,-0.5457,0.5,8.3376,0.8817,0.37,2.8977,3.45,-0.0393
54.4,seguindo,normal,2.8008,3.8042,-0.74,-1.3953,-0.6553,0.5,8.3323,1.1736,1.0,2.9774,2.8081,-0.0348
54.45,seguindo,normal,2.814,3.7924,-0.7424,-1.4063,-0.6639,0.5,8.3238,1.1736,1.0,2.9774,2.8081,-0.0275
54.5,seguindo,normal,2.8229,3.7845,-0.7459,-1.4139,-0.6681,0.5,8.318,1.1736,1.0,2.9774,2.8081,-0.0218
54.55,seguindo,normal,2.8365,3.773,-0.756,-1.4258,-0.6698,0.5,8.3092,1.1736,1.0,2.9774,2.8081,-0.0128
54.6,seguindo,normal,2.8455,3.7654,-0.7646,-1.4231,-0.6585,0.5,8.3033,1.3856,1.0,2.9947,2.7627,-0.0068
54.65,seguindo,normal,2.859,3.7543,-0.7825,-1.4348,-0.6523,0.5,8.2944,1.3856,1.0,2.9947,2.7627,0.0023
54.7,seguindo,normal,2.8679,3.7469,-0.7962,-1.4427,-0.6465,0.5,8.2886,1.3856,1.0,2.9947,2.7627,0.0087
54.75,seguindo,normal,2.8813,3.736,-0.8219,-1.4547,-0.6329,0.5,8.2799,1.3856,1.0,2.9947,2.7627,0.0188
54.8,seguindo,normal,2.8901,3.7287,-0.8409,-1.4297,-0.5888,0.5,8.2741,1.157,1.0,3.0392,2.679,0.0255
54.85,seguindo,normal,2.903,3.718,-0.8744,-1.4404,-0.5661,0.5,8.2657,1.157,1.0,3.0392,2.679,0.0353
54.9,seguindo,normal,2.9114,3.7109,-0.8987,-1.4476,-0.5489,0.5,8.2603,1.157,1.0,3.0392,2.679,0.0416
54.95,seguindo,normal,2.9238,3.7001,-0.9386,-1.4583,-0.5197,0.5,8.2525,1.157,1.0,3.0392,2.679,0.0517
55.0,seguindo,normal,2.932,3.6927,-0.9667,-1.4654,-0.4987,0.5,8.2474,1.157,1.0,3.0392,2.679,0.0583
55.05,seguindo,normal,2.9439,3.6814,-1.0094,-1.661,-0.6515,0.5,8.2403,3.5422,0.37,2.9049,3.2501,0.0678
55.1,seguindo,normal,2.9516,3.6736,-1.0384,-1.6807,-0.6423,0.5,8.2359,3.5422,0.37,2.9049,3.2501,0.0739
55.15,seguindo,normal,2.9628,3.6616,-1.0824,-1.7106,-0.6282,0.5,8.2297,3.5422,0.37,2.9049,3.2501,0.0828
55.2,seguindo,normal,2.97,3.6535,-1.1122,-1.7308,-0.6186,0.5,8.2259,3.5422,0.37,2.9049,3.2501,0.0888
55.25,seguindo,normal,2.9805,3.6409,-1.1574,-1.7618,-0.6045,0.5,8.2206,3.5422,0.37,2.9049,3.2501,0.0975
55.3,seguindo,normal,2.9872,3.6324,-1.1878,-1.7528,-0.565,0.5,8.2174,7.8331,0.37,2.9076,3.2001,0.1031
55.35,seguindo,normal,2.9968,3.6192,-1.2336,-1.7805,-0.5469,0.5,8.2132,7.8331,0.37,2.9076,3.2001,0.1109
55.4,seguindo,normal,3.0029,3.6102,-1.2641,-1.799,-0.5349,0.5,8.2108,7.8331,0.37,2.9076,3.2001,0.1158
55.45,seguindo,normal,3.0113,3.5962,-1.3085,-1.8268,-0.5183,0.5,8.208,7.8331,0.37,2.9076,3.2001,0.1229
55.5,seguindo,normal,3.0165,3.5866,-1.3377,-1.8073,-0.4696,0.5,8.2067,182.5749,0.37,2.9114,3.1502,0.1272
55.55,seguindo,normal,3.0236,3.5723,-1.3831,-1.8306,-0.4476,0.5,8.2055,182.5749,0.37,2.9114,3.1502,0.1328
55.6,seguindo,normal,3.0278,3.5627,-1.414,-1.846,-0.432,0.5,8.205,182.5749,0.37,2.9114,3.1502,0.1362
55.65,seguindo,normal,3.0337,3.5481,-1.4606,-1.8691,-0.4085,0.5,8.205,182.5749,0.37,2.9114,3.1502,0.141
55.7,seguindo,normal,3.0372,3.5382,-1.4918,-1.8845,-0.3927,0.5,8.2054,182.5749,0.37,2.9114,3.1502,0.1439
55.75,seguindo,normal,3.0419,3.5231,-1.5384,-1.8598,-0.3214,0.5,8.2067,8.0557,0.37,2.9162,3.1004,0.1477
55.8,seguindo,normal,3.0459,3.5078,-1.5848,-1.8788,-0.294,0.5,8.2088,8.0557,0.37,2.9162,3.1004,0.1506
55.85,seguindo,normal,3.0481,3.4975,-1.6155,-1.8913,-0.2759,0.5,8.2107,8.0557,0.37,2.9162,3.1004,0.1523
55.9,seguindo,normal,3.0499,3.487,-1.6459,-1.9037,-0.2578,0.5,8.2129,8.0557,0.37,2.9162,3.1004,0.1537
55.95,seguindo,normal,3.052,3.471,-1.6899,-1.8697,-0.1798,0.5,8.2171,4.2944,0.37,2.9225,3.0507,0.155
56.0,seguindo,normal,3.0529,3.4602,-1.7184,-1.8791,-0.1606,0.5,8.2204,4.2944,0.37,2.9225,3.0507,0.1554
56.05,seguindo,normal,3.0535,3.4437,-1.76,-1.8926,-0.1326,0.5,8.2261,4.2944,0.37,2.9225,3.0507,0.1555
56.1,seguindo,normal,3.0535,3.4326,-1.7869,-1.9012,-0.1143,0.5,8.2304,4.2944,0.37,2.9225,3.0507,0.155
56.15,seguindo,normal,3.0527,3.4158,-1.8258,-1.8582,-0.0323,0.5,8.2376,3.0086,0.37,2.9301,3.0011,0.1537
56.2,seguindo,normal,3.0517,3.4045,-1.8508,-1.8635,-0.0127,0.5,8.2429,3.0086,0.37,2.9301,3.0011,0.1523
56.25,seguindo,normal,3.0493,3.3872,-1.8852,-1.8703,0.015,0.5,8.2518,3.0086,0.37,2.9301,3.0011,0.1494
56.3,seguindo,normal,3.0472,3.3755,-1.9065,-1.8202,0.0863,0.5,8.2583,2.3796,0.37,2.9393,2.9519,0.1469
56.35,seguindo,normal,3.0429,3.3574,-1.9335,-1.821,0.1125,0.5,8.2693,2.3796,0.37,2.9393,2.9519,0.142
56.4,seguindo,normal,3.0395,3.3451,-1.9488,-1.8203,0.1285,0.5,8.2773,2.3796,0.37,2.9393,2.9519,0.1382
56.45,seguindo,normal,3.0337,3.3264,-1.9691,-1.7657,0.2033,0.5,8.29,2.0251,0.37,2.9501,2.9031,0.1317
56.5,seguindo,normal,3.0294,3.3139,-1.981,-1.7614,0.2196,0.5,8.299,2.0251,0.37,2.9501,2.9031,0.127
56.55,seguindo,normal,3.023,3.2966,-1.9952,-1.7539,0.2412,0.5,8.3117,2.0251,0.37,2.9501,2.9031,0.1199
56.6,seguindo,normal,3.0188,3.2856,-2.0041,-1.7484,0.2557,0.5,8.3199,2.0251,0.37,2.9501,2.9031,0.1153
56.65,seguindo,normal,3.0118,3.2696,-2.0106,-1.6889,0.3217,0.5,8.3327,1.8014,0.37,2.9627,2.8551,0.1077
56.7,seguindo,normal,3.007,3.259,-2.0122,-1.6801,0.3321,0.5,8.3413,1.8014,0.37,2.9627,2.8551,0.1024
56.75,seguindo,normal,2.9994,3.2433,-2.0102,-1.6652,0.345,0.5,8.3545,1.8014,0.37,2.9627,2.8551,0.094
56.8,seguindo,normal,2.9943,3.233,-2.0072,-1.6544,0.3529,0.5,8.3634,1.8014,0.37,2.9627,2.8551,0.0884
56.85,seguindo,normal,2.9867,3.2175,-2.002,-1.5935,0.4085,0.5,8.3766,1.6264,0.37,2.9774,2.8081,0.0799
56.9,seguindo,normal,2.9816,3.2072,-1.9983,-1.5814,0.4169,0.5,8.3854,1.6264,0.37,2.9774,2.8081,0.0742
56.95,seguindo,normal,2.9741,3.1916,-1.9929,-1.5622,0.4306,0.5,8.3986,1.6264,0.37,2.9774,2.8081,0.0656
57.0,seguindo,normal,2.9691,3.1813,-1.9893,-1.5487,0.4406,0.5,8.4073,1.6264,0.37,2.9774,2.8081,0.0599
57.05,seguindo,normal,2.9618,3.1655,-1.9854,-1.4894,0.4961,0.5,8.4204,1.4436,0.37,2.9947,2.7627,0.0515
57.1,seguindo,normal,2.957,3.155,-1.9834,-1.475,0.5084,0.5,8.4291,1.4436,0.37,2.9947,2.7627,0.0459
57.15,seguindo,normal,2.9504,3.1416,-1.9746,-1.4545,0.5201,0.5,8.4406,1.4436,0.37,2.9947,2.7627,0.0381
57.2,seguindo,normal,2.9464,3.1337,-1.9666,-1.4412,0.5254,0.5,8.4475,1.4436,0.37,2.9947,2.7627,0.0332
57.25,seguindo,normal,2.9401,3.1219,-1.9506,-1.3864,0.5642,0.5,8.4581,1.2306,0.37,3.0152,2.7194,0.0258
57.3,seguindo,normal,2.9359,3.114,-1.9383,-1.3726,0.5657,0.5,8.4652,1.2306,0.37,3.0152,2.7194,0.0209
57.35,seguindo,normal,2.9296,3.1025,-1.9148,-1.351,0.5638,0.5,8.4757,1.2306,0.37,3.0152,2.7194,0.0135
57.4,seguindo,normal,2.9254,3.0949,-1.8974,-1.3362,0.5612,0.5,8.4826,1.2306,0.37,3.0152,2.7194,0.0084
57.45,seguindo,normal,2.9191,3.0835,-1.8668,-1.3129,0.5539,0.5,8.4931,1.2306,0.37,3.0152,2.7194,0.0008
57.5,seguindo,normal,2.915,3.0759,-1.8448,-1.297,0.5478,0.5,8.4999,1.2306,0.37,3.0152,2.7194,-0.0042
57.55,seguindo,normal,2.9092,3.0646,-1.8104,-1.2456,0.5648,0.5,8.51,1.005,0.37,3.0392,2.679,-0.0115
57.6,seguindo,normal,2.9054,3.057,-1.7869,-1.2308,0.5561,0.5,8.5165,1.005,0.37,3.0392,2.679,-0.0161
57.65,seguindo,normal,2.9002,3.0455,-1.7519,-1.2084,0.5435,0.5,8.5261,1.005,0.37,3.0392,2.679,-0.0228
