t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
16.55,seguindo,-0.0,-0.0,-0.0,-0.04,-0.04,0.5,7.95,22.7752,0.0191
16.6,seguindo,-0.0,-0.0,-0.0,-0.04,-0.04,0.5,7.95,22.7752,0.0191
16.65,seguindo,-0.0,-0.0,-0.0,-0.04,-0.04,0.5,7.95,22.7752,0.0191
16.7,seguindo,-0.0,-0.0,-0.0,-0.04,-0.04,0.5,7.95,22.7752,0.0191
16.75,seguindo,-0.0,-0.0,-0.0,-0.04,-0.04,0.5,7.95,22.7752,0.0191
16.8,seguindo,-0.0,-0.0,-0.0,-0.04,-0.04,0.5,7.95,22.7752,0.0191
16.85,seguindo,-0.0,-0.0,-0.0,-0.04,-0.04,0.5,7.95,22.7752,0.0191
16.9,seguindo,-0.0,-0.0,-0.0,-0.04,-0.04,0.5,7.95,22.7752,0.0191
16.95,seguindo,-0.0,-0.0,-0.0,-0.04,-0.04,0.5,7.95,22.7752,0.0191
17.0,seguindo,-0.0,-0.0,-0.0,-0.04,-0.04,0.5,7.95,22.7752,0.0191
17.05,seguindo,0.0027,0.0003,-0.0037,-0.0404,-0.0367,0.5,7.9477,22.7752,0.0194
17.1,seguindo,0.0059,0.0007,-0.0088,-0.0409,-0.0321,0.5,7.9449,22.7752,0.0198
17.15,seguindo,0.0135,0.0015,-0.0202,-0.0412,-0.0211,0.5,7.9385,27.552,0.0207
17.2,seguindo,0.0199,0.0022,-0.0303,-0.0421,-0.0118,0.5,7.933,27.552,0.0214
17.25,seguindo,0.0322,0.003,-0.0461,-0.0434,0.0028,0.5,7.9229,27.552,0.0223
17.3,seguindo,0.0418,0.0033,-0.0563,-0.0441,0.0122,0.5,7.9152,27.552,0.0227
17.35,seguindo,0.0589,0.0035,-0.0722,-0.045,0.0272,0.5,7.9017,27.552,0.023
17.4,seguindo,0.0782,0.0032,-0.0876,-0.0446,0.043,0.5,7.8868,36.703,0.0229
17.45,seguindo,0.0914,0.0028,-0.0973,-0.0447,0.0526,0.5,7.8767,36.703,0.0226
17.5,seguindo,0.1048,0.0021,-0.1064,-0.0447,0.0617,0.5,7.8667,36.703,0.0221
17.55,seguindo,0.1244,0.0009,-0.1176,-0.0434,0.0742,0.5,7.8523,53.3386,0.0211
17.6,seguindo,0.1437,-0.0007,-0.1272,-0.0355,0.0917,0.5,7.8383,inf,0.0184
17.65,seguindo,0.1559,-0.0021,-0.1303,-0.0346,0.0957,0.5,7.8296,inf,0.0173
17.7,seguindo,0.1682,-0.0035,-0.133,-0.0327,0.1003,0.5,7.821,inf,0.0161
17.75,seguindo,0.1861,-0.0058,-0.1344,-0.031,0.1033,0.5,7.8085,inf,0.0141
17.8,seguindo,0.1979,-0.0074,-0.1343,-0.0298,0.1045,0.5,7.8004,inf,0.0127
17.85,seguindo,0.2152,-0.0099,-0.132,-0.0272,0.1048,0.5,7.7886,inf,0.0105
17.9,seguindo,0.2266,-0.0116,-0.1296,-0.0258,0.1038,0.5,7.7809,inf,0.009
17.95,seguindo,0.2436,-0.0141,-0.1253,-0.0237,0.1016,0.5,7.7694,inf,0.0067
18.0,seguindo,0.2549,-0.0158,-0.1221,-0.0223,0.0998,0.5,7.7617,inf,0.0052
18.05,seguindo,0.2718,-0.0182,-0.1177,-0.0264,0.0913,0.5,7.7489,inf,0.003
18.1,seguindo,0.2832,-0.0197,-0.1148,-0.0251,0.0897,0.5,7.7411,inf,0.0017
18.15,seguindo,0.3003,-0.022,-0.111,-0.0233,0.0877,0.5,7.7294,inf,-0.0002
18.2,seguindo,0.3117,-0.0235,-0.1086,-0.0221,0.0864,0.5,7.7215,inf,-0.0014
18.25,seguindo,0.3289,-0.0256,-0.1053,-0.0204,0.0849,0.5,7.7096,inf,-0.0031
18.3,seguindo,0.3462,-0.0276,-0.1023,-0.0187,0.0836,0.5,7.6976,inf,-0.0047
18.35,seguindo,0.3547,-0.0285,-0.102,-0.0179,0.0841,0.5,7.6916,inf,-0.0054
18.4,seguindo,0.3629,-0.0293,-0.1021,-0.0175,0.0846,0.5,7.6858,inf,-0.0061
18.45,seguindo,0.3724,-0.0303,-0.1021,-0.0167,0.0853,0.5,7.6791,inf,-0.0068
18.5,seguindo,0.3776,-0.0308,-0.1021,-0.0163,0.0858,0.5,7.6756,inf,-0.0072
18.55,seguindo,0.3881,-0.032,-0.1009,-0.0153,0.0856,0.5,7.6682,inf,-0.0082
18.6,seguindo,0.3965,-0.033,-0.0992,-0.0144,0.0848,0.5,7.6625,inf,-0.009
18.65,seguindo,0.4118,-0.0348,-0.0967,-0.0894,0.0073,0.5,7.6519,1.3977,-0.006
18.7,seguindo,0.4234,-0.036,-0.095,-0.0892,0.0058,0.5,7.6438,1.3977,-0.0037
18.75,seguindo,0.4409,-0.0378,-0.0933,-0.089,0.0043,0.5,7.6316,1.3977,-0.0001
18.8,seguindo,0.4526,-0.039,-0.0924,-0.0889,0.0035,0.5,7.6234,1.3977,0.0023
18.85,seguindo,0.4705,-0.0405,-0.0934,-0.0848,0.0086,0.5,7.6108,1.2817,0.0062
18.9,seguindo,0.4826,-0.0416,-0.0949,-0.0848,0.0101,0.5,7.6022,1.2817,0.0089
18.95,seguindo,0.501,-0.0431,-0.0985,-0.0849,0.0136,0.5,7.5892,1.2817,0.0128
19.0,seguindo,0.5133,-0.0441,-0.1013,-0.0811,0.0202,0.5,7.5805,1.3181,0.0154
19.05,seguindo,0.5315,-0.0457,-0.1039,-0.0886,0.0153,0.5,7.5633,1.3181,0.0196
19.1,seguindo,0.5435,-0.0469,-0.1049,-0.0885,0.0165,0.5,7.5549,1.3181,0.0218
19.15,seguindo,0.561,-0.0488,-0.1037,-0.0845,0.0192,0.5,7.5427,1.512,0.0248
19.2,seguindo,0.5726,-0.0502,-0.1019,-0.0841,0.0178,0.5,7.5348,1.512,0.0267
19.25,seguindo,0.5899,-0.0522,-0.0991,-0.0836,0.0154,0.5,7.523,1.512,0.0292
19.3,seguindo,0.6014,-0.0535,-0.0971,-0.0833,0.0138,0.5,7.5151,1.512,0.0308
19.35,seguindo,0.6186,-0.0554,-0.0938,-0.0794,0.0144,0.5,7.5033,1.9249,0.0332
19.4,seguindo,0.6301,-0.0566,-0.0916,-0.0791,0.0125,0.5,7.4954,1.9249,0.0348
19.45,seguindo,0.6473,-0.0585,-0.0881,-0.0786,0.0095,0.5,7.4836,1.9249,0.0366
19.5,seguindo,0.6588,-0.0596,-0.0858,-0.0752,0.0106,0.5,7.4757,2.7018,0.0378
19.55,seguindo,0.6761,-0.0614,-0.0825,-0.0748,0.0077,0.5,7.4638,2.7018,0.0397
19.6,seguindo,0.6876,-0.0625,-0.0804,-0.0745,0.0059,0.5,7.4559,2.7018,0.0406
19.65,seguindo,0.7049,-0.0641,-0.0775,-0.0713,0.0061,0.5,7.4439,4.0899,0.0417
19.7,seguindo,0.7165,-0.0651,-0.0756,-0.0438,0.0318,0.5,7.4359,inf,0.0075
19.75,seguindo,0.7338,-0.0666,-0.0729,-0.043,0.0299,0.5,7.4239,inf,0.0066
19.8,seguindo,0.7454,-0.0676,-0.0712,-0.0425,0.0286,0.5,7.4158,inf,0.006
19.85,seguindo,0.7628,-0.0691,-0.0686,-0.0416,0.027,0.5,7.4038,inf,0.0052
19.9,seguindo,0.7744,-0.07,-0.0668,-0.0411,0.0257,0.5,7.3957,inf,0.0047
19.95,seguindo,0.7918,-0.0713,-0.0642,-0.0345,0.0298,0.5,7.3882,inf,-0.0005
20.0,seguindo,0.8034,-0.0722,-0.0625,-0.034,0.0285,0.5,7.3801,inf,-0.001
20.05,seguindo,0.8208,-0.0735,-0.0599,-0.0333,0.0266,0.5,7.368,inf,-0.0017
20.1,seguindo,0.8324,-0.0743,-0.0582,-0.0329,0.0253,0.5,7.36,inf,-0.0021
20.15,seguindo,0.8498,-0.0755,-0.0555,-0.0322,0.0233,0.5,7.3479,inf,-0.0027
20.2,seguindo,0.8614,-0.0763,-0.0537,-0.032,0.0217,0.5,7.3398,inf,-0.0031
20.25,seguindo,0.8788,-0.0774,-0.051,-0.0314,0.0196,0.5,7.3277,inf,-0.0036
20.3,seguindo,0.8904,-0.0782,-0.0493,-0.031,0.0182,0.5,7.3196,inf,-0.0039
20.35,seguindo,0.9078,-0.0792,-0.0466,-0.0307,0.0158,0.5,7.3075,inf,-0.0043
20.4,seguindo,0.9194,-0.0799,-0.0448,-0.0304,0.0144,0.5,7.2994,inf,-0.0046
20.45,seguindo,0.9368,-0.0809,-0.0421,-0.03,0.0121,0.5,7.2872,inf,-0.005
20.5,seguindo,0.9484,-0.0815,-0.0403,-0.0297,0.0106,0.5,7.2791,inf,-0.0052
20.55,seguindo,0.9658,-0.0824,-0.0376,-0.0296,0.008,0.5,7.267,inf,-0.0055
20.6,seguindo,0.9774,-0.083,-0.0358,-0.0293,0.0064,0.5,7.2588,inf,-0.0057
20.65,seguindo,0.9948,-0.0838,-0.0331,-0.029,0.0041,0.5,7.2467,inf,-0.0059
20.7,seguindo,1.0065,-0.0843,-0.0313,-0.0255,0.0058,0.5,7.2385,inf,-0.0123
20.75,seguindo,1.0239,-0.0851,-0.0286,-0.0252,0.0034,0.5,7.2263,inf,-0.0124
20.8,seguindo,1.0355,-0.0855,-0.0268,-0.025,0.0018,0.5,7.2182,inf,-0.0124
20.85,seguindo,1.0529,-0.0862,-0.0241,-0.0258,-0.0016,0.5,7.214,inf,-0.0158
20.9,seguindo,1.0645,-0.0866,-0.0224,-0.0272,-0.0048,0.5,7.2058,inf,-0.0157
20.95,seguindo,1.0819,-0.0872,-0.0197,-0.027,-0.0074,0.5,7.1935,inf,-0.0156
21.0,seguindo,1.0936,-0.0876,-0.0179,-0.027,-0.0091,0.5,7.1853,inf,-0.0155
21.05,seguindo,1.111,-0.0881,-0.0152,-0.0277,-0.0125,0.5,7.1729,inf,-0.0152
21.1,seguindo,1.1226,-0.0884,-0.0134,-0.0277,-0.0143,0.5,7.1647,inf,-0.0151
21.15,seguindo,1.14,-0.0888,-0.0107,-0.0277,-0.017,0.5,7.1523,inf,-0.0148
21.2,seguindo,1.1517,-0.0891,-0.0089,-0.0278,-0.0188,0.5,7.1441,inf,-0.0145
21.25,seguindo,1.1691,-0.0894,-0.0062,-0.0286,-0.0224,0.5,7.1317,inf,-0.0142
21.3,seguindo,1.1807,-0.0896,-0.0043,-0.0287,-0.0243,0.5,7.1235,inf,-0.0139
21.35,seguindo,1.1981,-0.0899,-0.0016,-0.0289,-0.0273,0.5,7.1111,inf,-0.0134
21.4,seguindo,1.2097,-0.0901,0.0002,-0.0291,-0.0292,0.5,7.1028,inf,-0.0131
21.45,seguindo,1.2272,-0.0902,0.0028,-0.03,-0.0328,0.5,7.0904,inf,-0.0126
21.5,seguindo,1.2388,-0.0904,0.0046,-0.0302,-0.0348,0.5,7.0821,inf,-0.0122
21.55,seguindo,1.2562,-0.0905,0.0073,-0.0306,-0.0379,0.5,7.0697,inf,-0.0116
21.6,seguindo,1.2679,-0.0905,0.0091,-0.0314,-0.0405,0.5,7.0614,inf,-0.0111
21.65,seguindo,1.2853,-0.0906,0.0118,-0.0319,-0.0437,0.5,7.049,inf,-0.0105
21.7,seguindo,1.2969,-0.0906,0.0136,-0.0322,-0.0458,0.5,7.0407,inf,-0.01
21.75,seguindo,1.3144,-0.0905,0.0163,-0.0056,-0.0219,0.5,7.0416,54628.4857,-0.029
21.8,seguindo,1.326,-0.0905,0.018,-0.007,-0.0251,0.5,7.0334,13548.3439,-0.0286
21.85,seguindo,1.3434,-0.0903,0.0207,-0.0073,-0.028,0.5,7.0211,13548.3439,-0.0279
21.9,seguindo,1.355,-0.0902,0.0225,-0.0074,-0.0299,0.5,7.0129,13548.3439,-0.0274
21.95,seguindo,1.3725,-0.09,0.0252,-0.0089,-0.0341,0.5,7.0005,6824.3494,-0.0266
22.0,seguindo,1.3841,-0.0899,0.027,-0.0092,-0.0362,0.5,6.9923,6824.3494,-0.026
22.05,seguindo,1.4015,-0.0896,0.0297,-0.0096,-0.0393,0.5,6.98,6824.3494,-0.0252
22.1,seguindo,1.4131,-0.0894,0.0315,-0.0099,-0.0414,0.5,6.9717,6824.3494,-0.0246
22.15,seguindo,1.4306,-0.089,0.0341,-0.0115,-0.0456,0.5,6.9594,3459.163,-0.0236
22.2,seguindo,1.4422,-0.0888,0.0359,-0.0119,-0.0478,0.5,6.9511,3459.163,-0.023
22.25,seguindo,1.4596,-0.0884,0.0386,-0.0125,-0.0511,0.5,6.9388,3459.163,-0.0219
22.3,seguindo,1.4712,-0.088,0.0404,-0.0138,-0.0542,0.5,6.9305,1765.8132,-0.0212
22.35,seguindo,1.4887,-0.0875,0.0431,-0.0145,-0.0576,0.5,6.9181,1765.8132,-0.0201
22.4,seguindo,1.5003,-0.0872,0.0449,-0.015,-0.0599,0.5,6.9098,1765.8132,-0.0194
22.45,seguindo,1.5177,-0.0866,0.0475,-0.0164,-0.064,0.5,6.8974,471.7661,-0.0182
22.5,seguindo,1.5293,-0.0862,0.0492,-0.017,-0.0663,0.5,6.8891,471.7661,-0.0174
22.55,seguindo,1.5468,-0.0855,0.0519,-0.0179,-0.0698,0.5,6.8767,471.7661,-0.0161
22.6,seguindo,1.5584,-0.085,0.0537,-0.0186,-0.0723,0.5,6.8684,471.7661,-0.0153
22.65,seguindo,1.5758,-0.0843,0.0564,-0.0199,-0.0763,0.5,6.8559,247.4984,-0.0139
22.7,seguindo,1.5874,-0.0838,0.0582,-0.0206,-0.0788,0.5,6.8476,247.4984,-0.013
22.75,seguindo,1.6048,-0.0829,0.0609,-0.0132,-0.074,0.5,6.8461,247.4984,-0.0108
22.8,seguindo,1.6164,-0.0824,0.0626,-0.0098,-0.0724,0.5,6.8379,503.6315,-0.019
22.85,seguindo,1.6338,-0.0815,0.0653,-0.0108,-0.0762,0.5,6.8255,503.6315,-0.0176
22.9,seguindo,1.6455,-0.0809,0.0671,-0.012,-0.0791,0.5,6.8172,261.3952,-0.0167
22.95,seguindo,1.6629,-0.0799,0.0698,-0.0131,-0.0829,0.5,6.8048,261.3952,-0.0152
23.0,seguindo,1.6745,-0.0792,0.0716,-0.0139,-0.0855,0.5,6.7965,261.3952,-0.0142
23.05,seguindo,1.6919,-0.0782,0.0743,-0.015,-0.0893,0.5,6.7841,137.0664,-0.0127
23.1,seguindo,1.7035,-0.0774,0.0761,-0.0159,-0.092,0.5,6.7758,137.0664,-0.0116
23.15,seguindo,1.7209,-0.0763,0.0788,-0.0172,-0.096,0.5,6.7633,137.0664,-0.01
23.2,seguindo,1.7325,-0.0755,0.0806,-0.0182,-0.0987,0.5,6.755,137.0664,-0.0089
23.25,seguindo,1.7499,-0.0743,0.0832,-0.0187,-0.102,0.5,6.7425,39.1189,-0.0072
23.3,seguindo,1.7614,-0.0735,0.085,-0.0197,-0.1048,0.5,6.7342,39.1189,-0.006
23.35,seguindo,1.7788,-0.0722,0.0877,-0.0213,-0.109,0.5,6.7217,39.1189,-0.0042
23.4,seguindo,1.7904,-0.0713,0.0895,-0.0203,-0.1098,0.5,6.7134,21.3832,-0.003
23.45,seguindo,1.8078,-0.0699,0.0922,-0.022,-0.1142,0.5,6.7009,21.3832,-0.0012
23.5,seguindo,1.8194,-0.069,0.094,-0.0231,-0.1171,0.5,6.6925,21.3832,0.0001
23.55,seguindo,1.8368,-0.0676,0.0966,-0.021,-0.1176,0.5,6.68,11.9148,0.0021
23.6,seguindo,1.8484,-0.0666,0.0983,-0.0222,-0.1205,0.5,6.6717,11.9148,0.0034
23.65,seguindo,1.8657,-0.0651,0.101,-0.0524,-0.1534,0.5,6.6542,11.9148,0.0133
23.7,seguindo,1.8773,-0.064,0.1028,-0.054,-0.1568,0.5,6.6457,11.9148,0.0149
23.75,seguindo,1.8947,-0.0624,0.1055,-0.0494,-0.1549,0.5,6.6329,6.7964,0.0173
23.804,seguindo,1.912,-0.0608,0.1083,-0.0518,-0.1601,0.5,6.62,6.267,0.0095
23.85,seguindo,1.9236,-0.0597,0.1101,-0.0534,-0.1635,0.5,6.6115,6.267,0.0113
23.9,seguindo,1.9351,-0.0585,0.1119,-0.0552,-0.167,0.5,6.6029,6.267,0.0131
23.95,seguindo,1.9525,-0.0568,0.1146,-0.0474,-0.162,0.5,6.5901,3.7787,0.0159
24.0,seguindo,1.9641,-0.0556,0.1163,-0.0491,-0.1654,0.5,6.5815,3.7787,0.0178
24.05,seguindo,1.9814,-0.0538,0.119,-0.0517,-0.1707,0.5,6.5686,3.7787,0.0207
24.1,seguindo,1.9929,-0.0525,0.1208,-0.0392,-0.16,0.5,6.56,2.3855,0.0226
24.15,seguindo,2.0103,-0.0506,0.1235,-0.0416,-0.1651,0.5,6.5471,2.3855,0.0256
24.2,seguindo,2.0218,-0.0493,0.1253,-0.0433,-0.1686,0.5,6.5385,2.3855,0.0276
24.25,seguindo,2.0391,-0.0473,0.128,-0.0281,-0.156,0.5,6.5256,1.6039,0.0306
24.3,seguindo,2.0507,-0.046,0.1298,-0.0296,-0.1594,0.5,6.517,1.6039,0.0326
24.35,seguindo,2.068,-0.0439,0.1325,-0.0321,-0.1646,0.5,6.5041,1.6039,0.0357
24.4,seguindo,2.0795,-0.0425,0.1342,-0.0339,-0.1681,0.5,6.4955,1.6039,0.0378
24.45,seguindo,2.0968,-0.0404,0.1369,-0.0153,-0.1522,0.5,6.4825,1.173,0.041
24.5,seguindo,2.1084,-0.0389,0.1387,-0.0169,-0.1556,0.5,6.4739,1.173,0.0432
24.55,seguindo,2.1257,-0.0367,0.1414,-0.0345,-0.1759,0.5,6.4513,1.173,0.0552
24.6,seguindo,2.1372,-0.0352,0.1432,-0.0364,-0.1796,0.5,6.4426,0.8702,0.0575
24.65,seguindo,2.1545,-0.0329,0.1459,-0.0394,-0.1852,0.5,6.4295,0.8702,0.061
24.7,seguindo,2.166,-0.0314,0.1477,-0.0414,-0.1891,0.5,6.4208,0.8702,0.0633
24.75,seguindo,2.1833,-0.029,0.1503,-0.0446,-0.1949,0.5,6.4077,0.8702,0.0668
24.8,seguindo,2.1948,-0.0274,0.1521,-0.0211,-0.1732,0.5,6.399,0.7281,0.0692
24.85,seguindo,2.212,-0.0249,0.1548,-0.0121,-0.1669,0.5,6.3859,1.1298,0.0099
24.9,seguindo,2.2235,-0.0233,0.1566,-0.0139,-0.1705,0.5,6.3772,1.1298,0.0152
24.95,seguindo,2.2408,-0.0207,0.1593,0.0032,-0.1561,0.5,6.3641,1.0319,0.0231
25.0,seguindo,2.2523,-0.019,0.1611,0.0015,-0.1596,0.5,6.3553,1.0319,0.0284
25.05,seguindo,2.2695,-0.0164,0.1638,-0.0012,-0.1649,0.5,6.3422,1.0319,0.0364
25.1,seguindo,2.281,-0.0147,0.1656,-0.003,-0.1686,0.5,6.3334,1.0319,0.0417
25.15,seguindo,2.2983,-0.012,0.1682,0.016,-0.1523,0.5,6.3203,1.1616,0.0496
25.2,seguindo,2.3097,-0.0102,0.17,0.0143,-0.1557,0.5,6.3115,1.1616,0.055
25.25,seguindo,2.3269,-0.0074,0.1727,0.0117,-0.161,0.5,6.2984,1.1616,0.063
25.3,seguindo,2.3384,-0.0056,0.1745,0.0099,-0.1646,0.5,6.2896,1.1616,0.0682
25.35,seguindo,2.3526,-0.0031,0.1755,0.0314,-0.1442,0.5,6.2787,1.1145,0.0748
25.4,seguindo,2.3608,-0.0017,0.1756,0.0301,-0.1454,0.5,6.2723,1.1145,0.0787
25.45,seguindo,2.376,0.0009,0.1775,0.0477,-0.1298,0.5,6.2768,1.1145,0.0704
25.5,seguindo,2.3875,0.0028,0.1796,0.0463,-0.1333,0.5,6.2681,1.1145,0.0755
25.55,seguindo,2.4047,0.0057,0.1825,0.0441,-0.1384,0.5,6.255,1.1145,0.083
25.6,seguindo,2.4161,0.0077,0.1843,0.0679,-0.1164,0.5,6.2463,1.1298,0.0881
25.65,seguindo,2.4333,0.0107,0.187,0.066,-0.121,0.5,6.2331,1.1298,0.0957
25.7,seguindo,2.4447,0.0127,0.1888,0.0647,-0.1242,0.5,6.2244,1.1298,0.1006
25.75,seguindo,2.462,0.0159,0.1906,0.0625,-0.1281,0.5,6.2111,1.1298,0.1079
25.8,seguindo,2.4794,0.0192,0.1919,0.0878,-0.1041,0.5,6.1977,1.0319,0.1154
25.85,seguindo,2.491,0.0214,0.1921,0.0865,-0.1056,0.5,6.1887,1.0319,0.1203
25.9,seguindo,2.5027,0.0236,0.1924,-0.2976,-0.49,0.5,6.1797,inf,-0.0151
25.95,seguindo,2.52,0.0269,0.1937,-0.3176,-0.5113,0.5,6.1664,inf,0.0039
26.0,seguindo,2.5316,0.0291,0.1948,-0.3318,-0.5266,0.5,6.1576,inf,0.0108
26.05,seguindo,2.5487,0.0323,0.1971,-0.3542,-0.5513,0.5,6.1444,inf,0.0212
26.1,seguindo,2.5602,0.0345,0.1989,-0.3184,-0.5173,0.5,6.1357,inf,0.0281
26.15,seguindo,2.5773,0.0377,0.2016,-0.3392,-0.5409,0.5,6.1226,inf,0.0385
26.2,seguindo,2.5887,0.0399,0.2035,-0.354,-0.5575,0.5,6.1138,inf,0.0454
26.25,seguindo,2.6058,0.0432,0.2064,-0.3777,-0.584,0.5,6.1007,inf,0.0556
26.3,seguindo,2.6172,0.0454,0.2083,-0.3296,-0.5379,0.5,6.092,inf,0.0625
26.35,seguindo,2.634,0.0491,0.2063,-0.3519,-0.5582,0.5,6.0788,inf,0.073
26.4,seguindo,2.6451,0.0517,0.2031,-0.3679,-0.571,0.5,6.07,inf,0.0801
26.45,seguindo,2.6616,0.0559,0.1934,-0.3924,-0.5858,0.5,6.0614,inf,0.0866
26.5,seguindo,2.6726,0.0587,0.1851,-0.4106,-0.5958,0.5,6.0524,inf,0.0937
26.55,seguindo,2.6891,0.063,0.1677,-0.3608,-0.5285,0.5,6.0388,inf,0.1045
26.6,seguindo,2.7001,0.0659,0.1543,-0.3777,-0.5321,0.5,6.0298,inf,0.1117
26.65,seguindo,2.7165,0.0704,0.1292,-0.4047,-0.5339,0.5,6.0163,inf,0.1224
26.7,seguindo,2.7274,0.0732,0.1106,-0.4235,-0.5341,0.5,6.0074,inf,0.1292
26.75,seguindo,2.7439,0.0775,0.0777,-0.3649,-0.4426,0.5,5.9939,inf,0.1395
26.8,seguindo,2.7551,0.0802,0.054,-0.3817,-0.4357,0.5,5.985,inf,0.1462
26.85,seguindo,2.7717,0.0838,0.0169,-0.4075,-0.4243,0.5,5.9721,inf,0.1556
26.9,seguindo,2.7828,0.0859,-0.0084,-0.108,-0.0996,0.5,5.9637,inf,0.0158
26.951,seguindo,2.7995,0.0886,-0.0472,-0.1307,-0.0835,0.5,5.9308,inf,0.0371
27.0,seguindo,2.8106,0.0901,-0.0734,-0.1381,-0.0648,0.5,5.9228,inf,0.0403
27.051,seguindo,2.8274,0.0917,-0.1118,-0.1485,-0.0367,0.5,5.9113,inf,0.0446
27.1,seguindo,2.8388,0.0923,-0.1365,-0.1023,0.0341,0.5,5.9039,inf,0.047
27.15,seguindo,2.8558,0.0927,-0.1738,-0.1078,0.066,0.5,5.8932,inf,0.0501
27.2,seguindo,2.8672,0.0926,-0.1988,-0.1109,0.088,0.5,5.8864,inf,0.0518
27.25,seguindo,2.8843,0.0919,-0.2355,-0.1141,0.1214,0.5,5.8767,inf,0.0537
27.3,seguindo,2.896,0.0909,-0.258,-0.0529,0.2051,0.5,5.8705,inf,0.0544
27.35,seguindo,2.9134,0.0887,-0.2896,-0.0465,0.2431,0.5,5.8619,inf,0.0508
27.4,seguindo,2.9251,0.0867,-0.3074,-0.0424,0.265,0.5,5.8564,inf,0.0504
27.45,seguindo,2.9423,0.0831,-0.331,0.0325,0.3635,0.5,5.8489,inf,0.0492
27.5,seguindo,2.9539,0.0804,-0.3447,0.0407,0.3854,0.5,5.8442,inf,0.0481
27.55,seguindo,2.9708,0.0756,-0.3603,0.056,0.4163,0.5,5.8378,inf,0.0452
27.6,seguindo,2.982,0.072,-0.3681,0.1337,0.5017,0.5,5.834,inf,0.0429
27.65,seguindo,2.9985,0.0662,-0.3737,0.1548,0.5285,0.5,5.8289,inf,0.0388
27.7,seguindo,3.0094,0.062,-0.3753,0.1704,0.5457,0.5,5.8258,inf,0.0354
27.75,seguindo,3.0256,0.0556,-0.3744,0.2553,0.6297,0.5,5.8214,inf,0.0299
27.8,seguindo,3.0364,0.0512,-0.3726,0.2729,0.6455,0.5,5.8186,inf,0.0262
27.85,seguindo,3.0499,0.0452,-0.3641,0.2972,0.6613,0.5,5.8155,inf,0.0209
27.9,seguindo,3.0578,0.0414,-0.3546,0.3129,0.6675,0.5,5.8139,inf,0.017
27.95,seguindo,3.0697,0.0354,-0.3353,0.3671,0.7024,0.5,5.8118,inf,-0.0187
28.0,seguindo,3.0776,0.0314,-0.3197,0.3847,0.7044,0.5,5.8105,inf,-0.0238
28.05,seguindo,3.0891,0.0253,-0.2911,0.4404,0.7315,0.5,5.8087,inf,-0.0316
28.1,seguindo,3.0966,0.0214,-0.2697,0.4569,0.7266,0.5,5.8076,inf,-0.0367
28.15,seguindo,3.1081,0.0153,-0.2327,0.4828,0.7155,0.5,5.8059,inf,-0.0445
28.2,seguindo,3.1157,0.0114,-0.206,0.5004,0.7065,0.5,5.8047,inf,-0.0496
28.25,seguindo,3.1271,0.0056,-0.1623,0.5272,0.6895,0.5,5.8029,inf,-0.0572
28.3,seguindo,3.1347,0.002,-0.1325,0.5616,0.6941,0.5,5.8015,inf,-0.062
28.35,seguindo,3.1459,-0.0028,-0.0891,0.5846,0.6737,0.5,5.799,inf,-0.0685
28.4,seguindo,3.1532,-0.0056,-0.0613,0.5995,0.6608,0.5,5.7971,inf,-0.0725
28.45,seguindo,3.164,-0.0096,-0.0173,0.6218,0.639,0.5,5.8087,inf,-0.0834
28.5,seguindo,3.1711,-0.0121,0.013,0.6359,0.623,0.5,5.8067,inf,-0.087
28.55,seguindo,3.1815,-0.0157,0.0612,0.6569,0.5958,0.5,5.8037,inf,-0.0924
28.6,seguindo,3.1884,-0.0179,0.0943,0.6708,0.5765,0.5,5.8017,inf,-0.0958
28.65,seguindo,3.1985,-0.0209,0.1461,0.6915,0.5454,0.5,5.7985,inf,-0.1008
28.7,seguindo,3.2053,-0.0227,0.1813,0.7052,0.5238,0.5,5.7962,inf,-0.1038
28.75,seguindo,3.2155,-0.025,0.2344,0.754,0.5195,0.5,5.7863,0.7442,-0.1087
28.8,seguindo,3.2223,-0.0262,0.2699,0.7591,0.4892,0.5,5.7835,0.7442,-0.1112
28.85,seguindo,3.2327,-0.0275,0.3225,0.7667,0.4442,0.5,5.7788,0.7442,-0.1148
28.9,seguindo,3.2397,-0.028,0.3571,0.7716,0.4145,0.5,5.7753,0.7442,-0.1169
28.95,seguindo,3.2504,-0.0282,0.4081,0.7787,0.3707,0.5,5.7695,0.7442,-0.1196
29.0,seguindo,3.2576,-0.0279,0.4413,0.7833,0.342,0.5,5.7653,14.693,-0.0276
29.05,seguindo,3.2684,-0.0269,0.4903,0.7822,0.2919,0.5,5.7529,14.693,-0.0224
29.1,seguindo,3.2757,-0.0259,0.5223,0.7864,0.2641,0.5,5.748,14.693,-0.0265
29.15,seguindo,3.2866,-0.0238,0.5694,0.7924,0.223,0.5,5.7402,14.693,-0.0323
29.2,seguindo,3.2939,-0.0219,0.6,0.7963,0.1962,0.5,5.7347,14.693,-0.0358
29.25,seguindo,3.3048,-0.0186,0.6451,0.8094,0.1643,0.5,5.7259,8.8723,-0.0407
29.3,seguindo,3.312,-0.0161,0.6745,0.8127,0.1381,0.5,5.7198,8.8723,-0.0437
29.35,seguindo,3.3227,-0.0117,0.7177,0.8395,0.1217,0.5,5.7093,8.8723,-0.0671
