fase,trecho,t,x,y,yaw,v_pose,wz_pose,cmd_v_bruto,cmd_wz_bruto,cmd_v_placa,cmd_wz_placa,cmd_v,cmd_wz,alvo_x,alvo_y,dist
afericao,giro_030,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,,,
afericao,giro_030,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,,,
afericao,giro_030,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,0.001,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,0.001,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,0.002,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,0.002,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,0.004,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,0.004,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,0.005,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,0.005,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,0.006,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,0.006,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,0.007,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,0.007,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,0.009,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,0.009,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,0.009,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,0.01,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,0.01,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,0.011,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,0.011,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,0.012,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,0.012,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,0.014,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,0.014,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,0.015,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,0.015,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,0.016,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,,
